Speaker,start,end,time,ITL,ICL
Music,0:00:00,0:00:02,0:00:02,,
Music,0:01:47,0:01:48,0:00:01,,
Music,0:01:50,0:02:44,0:00:54,,
S-Speech,0:00:05,0:00:05,0:00:00,,
S-Speech,0:00:10,0:00:11,0:00:01,,
S-Speech,0:00:12,0:00:15,0:00:03,,
S-Speech,0:00:19,0:00:20,0:00:01,,
S-Speech,0:00:24,0:00:24,0:00:00,,
S-Speech,0:00:33,0:00:34,0:00:01,,
S-Speech,0:00:53,0:00:53,0:00:00,,
S-Speech,0:01:04,0:01:05,0:00:01,,
S-Speech,0:01:11,0:01:11,0:00:00,,
S-Speech,0:01:19,0:01:20,0:00:01,,
S-Speech,0:01:26,0:01:26,0:00:00,,
S-Speech,0:01:28,0:01:29,0:00:01,,
S-Speech,0:01:37,0:01:38,0:00:01,,
S-Speech,0:01:38,0:01:39,0:00:01,,
S-Speech,0:01:41,0:01:42,0:00:01,,
S-Speech,0:01:46,0:01:46,0:00:00,,
S-Speech,0:02:01,0:02:02,0:00:01,,
T-Speech,0:00:00,0:00:10,0:00:10,Technique,"Giving Practice
"
T-Speech,0:00:11,0:00:12,0:00:01,Technique,"Giving Feedback
"
T-Speech,0:00:15,0:00:19,0:00:04,Technique,"Giving Practice
"
T-Speech,0:00:20,0:00:24,0:00:04,Technique,"Giving Feedback
"
T-Speech,0:00:29,0:00:33,0:00:04,Technique,"Giving Practice
"
T-Speech,0:00:34,0:00:56,0:00:22,Technique,"Giving Advice
"
T-Speech,0:00:57,0:01:04,0:00:07,Style,"Giving Objective Information
"
T-Speech,0:01:05,0:01:11,0:00:06,Style,"Giving Feedback
"
T-Speech,0:01:12,0:01:19,0:00:07,Style,"Giving Advice
"
T-Speech,0:01:20,0:01:28,0:00:08,Style,"Giving Advice
"
T-Speech,0:01:29,0:01:37,0:00:08,Style,"Giving Advice
"
T-Speech,0:01:38,0:01:38,0:00:00,Style,"Giving Feedback
"
T-Speech,0:01:39,0:01:41,0:00:02,Style,"Giving Advice
"
T-Speech,0:01:42,0:01:46,0:00:04,Style,"Giving Advice
"
T-Speech,0:01:57,0:01:58,0:00:01,Musical Expression,"Giving Practice
"
T-Speech,0:02:26,0:02:28,0:00:02,Musical Expression,"Giving Practice
"
