labels,start,stop
music,0,1.68
speech,1.68,5.72
music,5.72,15.44
noEnergy,15.44,16.08
music,16.08,19.98
noEnergy,19.98,20.66
noise,20.66,22.64
noEnergy,22.64,23.28
music,23.28,29.84
noEnergy,29.84,31.08
music,31.08,36.5
noEnergy,36.5,37.88
music,37.88,42.98
noEnergy,42.98,44.48
music,44.48,45.26
noEnergy,45.26,45.8
music,45.8,48.42
noEnergy,48.42,50.56
music,50.56,64.08
noEnergy,64.08,64.92
music,64.92,104.54
noEnergy,104.54,105.82
music,105.82,106.94
noEnergy,106.94,108.18
music,108.18,109.06
noEnergy,109.06,112.52
music,112.52,181.46
noEnergy,181.46,182.26
music,182.26,237.18
noEnergy,237.18,239.64
music,239.64,275.24
noEnergy,275.24,275.74
music,275.74,285.22
noEnergy,285.22,285.82
music,285.82,289.22
noEnergy,289.22,290.76
music,290.76,340.16
noEnergy,340.16,340.72
music,340.72,371.66
noEnergy,371.66,373.56
music,373.56,446.14
noEnergy,446.14,446.56
music,446.56,453.02
speech,453.02,482.64
noEnergy,482.64,483.16
music,483.16,493.48
speech,493.48,503.66
music,503.66,516.44
speech,516.44,526.34
noEnergy,526.34,526.9
speech,526.9,537.76
music,537.76,548.54
noEnergy,548.54,549.76
music,549.76,552.42
speech,552.42,559.5
noEnergy,559.5,560.22
speech,560.22,561.58
music,561.58,575.86
speech,575.86,582.5
music,582.5,629.26
speech,629.26,636.8
noEnergy,636.8,637.24
speech,637.24,638.12
music,638.12,643.32
speech,643.32,654.18
noEnergy,654.18,654.58
speech,654.58,667.3
noEnergy,667.3,667.74
speech,667.74,674.06
noEnergy,674.06,674.94
music,674.94,676
speech,676,677.66
noEnergy,677.66,678.54
music,678.54,688.14
speech,688.14,691.66
noEnergy,691.66,692.5
speech,692.5,693.36
noEnergy,693.36,693.86
noise,693.86,695.06
music,695.06,775.34
noEnergy,775.34,776.9
music,776.9,787.26
noEnergy,787.26,788.14
music,788.14,798.52
noEnergy,798.52,798.98
noise,798.98,799.28
noEnergy,799.28,799.84
music,799.84,820.46
noEnergy,820.46,822.82
noise,822.82,823.88
noEnergy,823.88,824.38
speech,824.38,843.78
noEnergy,843.78,844.46
speech,844.46,846.44
