labels	start	stop
noEnergy	0.0	1.6600000000000001
speech	1.6600000000000001	2.2
noEnergy	2.2	2.74
music	2.74	33.22
speech	33.22	40.64
noEnergy	40.64	41.04
noise	41.04	41.54
noEnergy	41.54	42.7
speech	42.7	44.92
music	44.92	80.54
noEnergy	80.54	81.9
music	81.9	89.5
noEnergy	89.5	90.26
music	90.26	111.0
noEnergy	111.0	111.74000000000001
music	111.74000000000001	163.4
speech	163.4	179.24
music	179.24	183.84
noEnergy	183.84	184.70000000000002
music	184.70000000000002	195.76
noEnergy	195.76	198.62
speech	198.62	210.82
music	210.82	214.72
noEnergy	214.72	215.6
music	215.6	224.70000000000002
noEnergy	224.70000000000002	225.26
speech	225.26	226.8
noEnergy	226.8	227.62
music	227.62	242.4
speech	242.4	245.44
music	245.44	249.36
noEnergy	249.36	250.20000000000002
speech	250.20000000000002	251.56
noEnergy	251.56	252.72
speech	252.72	254.18
noEnergy	254.18	254.64000000000001
music	254.64000000000001	256.04
noEnergy	256.04	257.04
speech	257.04	259.7
music	259.7	270.94
noEnergy	270.94	272.04
noise	272.04	273.84000000000003
music	273.84000000000003	292.32
noEnergy	292.32	292.82
speech	292.82	295.52
music	295.52	308.14
speech	308.14	312.5
music	312.5	321.76
noEnergy	321.76	322.84000000000003
noise	322.84000000000003	323.16
noEnergy	323.16	324.76
music	324.76	326.58
noEnergy	326.58	327.48
music	327.48	329.96
noEnergy	329.96	330.64
music	330.64	334.1
noise	334.1	335.48
music	335.48	338.48
noEnergy	338.48	338.92
music	338.92	347.7
speech	347.7	352.04
noEnergy	352.04	352.5
music	352.5	373.58
speech	373.58	376.40000000000003
noEnergy	376.40000000000003	376.82
speech	376.82	377.84000000000003
noEnergy	377.84000000000003	378.26
speech	378.26	379.94
music	379.94	393.16
speech	393.16	394.1
noEnergy	394.1	394.56
music	394.56	395.72
noEnergy	395.72	396.54
music	396.54	427.68
speech	427.68	435.42
music	435.42	451.32
speech	451.32	453.28000000000003
noEnergy	453.28000000000003	454.22
music	454.22	465.16
speech	465.16	467.04
noEnergy	467.04	467.74
speech	467.74	469.86
music	469.86	486.16
noEnergy	486.16	487.7
noise	487.7	488.46000000000004
noEnergy	488.46000000000004	489.88
speech	489.88	491.38
music	491.38	495.64
speech	495.64	497.02000000000004
noEnergy	497.02000000000004	497.90000000000003
music	497.90000000000003	501.94
speech	501.94	508.12
music	508.12	522.52
noEnergy	522.52	523.04
music	523.04	539.3
speech	539.3	540.38
noEnergy	540.38	541.1800000000001
noise	541.1800000000001	541.48
noEnergy	541.48	542.86
speech	542.86	546.5600000000001
noEnergy	546.5600000000001	546.98
music	546.98	552.6800000000001
speech	552.6800000000001	554.26
noEnergy	554.26	554.7
speech	554.7	556.6
noEnergy	556.6	557.16
speech	557.16	558.16
noEnergy	558.16	560.52
noise	560.52	561.36
noEnergy	561.36	563.28
speech	563.28	567.0600000000001
noEnergy	567.0600000000001	569.4
noise	569.4	570.82
noEnergy	570.82	571.3000000000001
speech	571.3000000000001	571.96
noise	571.96	572.8000000000001
noEnergy	572.8000000000001	573.22
speech	573.22	576.46
music	576.46	593.54
noEnergy	593.54	597.86
music	597.86	608.52
noEnergy	608.52	608.92
music	608.92	614.66
noEnergy	614.66	615.08
speech	615.08	618.0
noEnergy	618.0	620.16
speech	620.16	620.9
music	620.9	626.22
noEnergy	626.22	627.66
music	627.66	673.66
noEnergy	673.66	674.42
speech	674.42	676.6800000000001
music	676.6800000000001	685.02
noEnergy	685.02	688.28
music	688.28	698.16
noEnergy	698.16	699.22
music	699.22	709.12
speech	709.12	711.1800000000001
noEnergy	711.1800000000001	712.84
speech	712.84	713.42
noEnergy	713.42	714.0600000000001
music	714.0600000000001	715.16
noEnergy	715.16	719.34
music	719.34	722.94
noEnergy	722.94	724.14
music	724.14	744.32
speech	744.32	746.44
noEnergy	746.44	747.48
music	747.48	752.86
noEnergy	752.86	754.12
music	754.12	757.84
noEnergy	757.84	758.42
noise	758.42	759.62
noEnergy	759.62	760.26
music	760.26	774.1
noEnergy	774.1	774.5
speech	774.5	776.5600000000001
noEnergy	776.5600000000001	777.16
speech	777.16	778.02
music	778.02	795.46
speech	795.46	797.32
noEnergy	797.32	798.9200000000001
noise	798.9200000000001	799.32
noEnergy	799.32	804.16
music	804.16	817.16
noEnergy	817.16	818.76
music	818.76	819.6800000000001
noEnergy	819.6800000000001	820.4200000000001
music	820.4200000000001	825.82
noEnergy	825.82	826.44
speech	826.44	827.32
music	827.32	833.62
noEnergy	833.62	834.44
music	834.44	844.7
speech	844.7	846.36
noEnergy	846.36	847.02
speech	847.02	847.7
noEnergy	847.7	848.22
speech	848.22	849.46
noEnergy	849.46	852.64
speech	852.64	854.12
noEnergy	854.12	857.16
music	857.16	858.54
noEnergy	858.54	858.94
music	858.94	862.16
noEnergy	862.16	863.24
music	863.24	865.12
noEnergy	865.12	866.0600000000001
speech	866.0600000000001	867.0600000000001
music	867.0600000000001	875.78
noEnergy	875.78	876.16
music	876.16	881.0
noEnergy	881.0	882.24
speech	882.24	885.22
noEnergy	885.22	887.2
music	887.2	888.02
noEnergy	888.02	888.76
music	888.76	892.76
noEnergy	892.76	897.98
music	897.98	901.74
noEnergy	901.74	902.34
music	902.34	906.6
noEnergy	906.6	907.08
music	907.08	911.6
speech	911.6	914.64
music	914.64	915.28
noEnergy	915.28	917.4
music	917.4	918.28
noEnergy	918.28	918.84
music	918.84	927.74
noEnergy	927.74	928.14
noise	928.14	928.72
noEnergy	928.72	932.76
music	932.76	936.04
noEnergy	936.04	936.72
music	936.72	947.44
speech	947.44	952.26
noEnergy	952.26	954.3000000000001
music	954.3000000000001	966.36
noEnergy	966.36	969.28
speech	969.28	970.14
noEnergy	970.14	970.66
speech	970.66	971.6
noEnergy	971.6	974.0600000000001
speech	974.0600000000001	974.34
noEnergy	974.34	975.64
music	975.64	984.5400000000001
noEnergy	984.5400000000001	985.76
music	985.76	991.12
noEnergy	991.12	992.9200000000001
music	992.9200000000001	993.52
noEnergy	993.52	993.94
music	993.94	998.5400000000001
speech	998.5400000000001	1003.28
music	1003.28	1011.0
speech	1011.0	1013.62
music	1013.62	1027.1200000000001
noEnergy	1027.1200000000001	1027.54
music	1027.54	1032.08
noEnergy	1032.08	1033.22
speech	1033.22	1034.54
music	1034.54	1052.72
noEnergy	1052.72	1054.68
music	1054.68	1057.64
noEnergy	1057.64	1058.04
speech	1058.04	1061.6200000000001
noEnergy	1061.6200000000001	1062.08
noise	1062.08	1062.3600000000001
noEnergy	1062.3600000000001	1063.38
music	1063.38	1066.7
noEnergy	1066.7	1067.1200000000001
music	1067.1200000000001	1068.3600000000001
noEnergy	1068.3600000000001	1069.38
music	1069.38	1072.06
noEnergy	1072.06	1073.32
music	1073.32	1078.2
noEnergy	1078.2	1078.72
music	1078.72	1084.3
noEnergy	1084.3	1085.2
music	1085.2	1091.34
noEnergy	1091.34	1092.28
music	1092.28	1102.06
noEnergy	1102.06	1103.48
music	1103.48	1112.88
noise	1112.88	1113.6000000000001
noEnergy	1113.6000000000001	1114.76
music	1114.76	1135.28
noEnergy	1135.28	1137.32
music	1137.32	1142.44
noEnergy	1142.44	1143.92
noise	1143.92	1144.6200000000001
noEnergy	1144.6200000000001	1146.82
noise	1146.82	1147.3
noEnergy	1147.3	1148.04
music	1148.04	1169.02
noEnergy	1169.02	1170.2
music	1170.2	1179.68
noEnergy	1179.68	1183.1000000000001
speech	1183.1000000000001	1183.64
noEnergy	1183.64	1184.6200000000001
music	1184.6200000000001	1192.52
speech	1192.52	1194.7
noEnergy	1194.7	1196.06
music	1196.06	1237.92
noEnergy	1237.92	1238.44
speech	1238.44	1241.34
noEnergy	1241.34	1244.18
music	1244.18	1246.38
noEnergy	1246.38	1246.82
noise	1246.82	1251.98
music	1251.98	1256.88
noEnergy	1256.88	1258.8600000000001
music	1258.8600000000001	1272.54
noEnergy	1272.54	1273.46
speech	1273.46	1274.8
noEnergy	1274.8	1277.06
speech	1277.06	1283.58
music	1283.58	1288.42
noEnergy	1288.42	1288.82
music	1288.82	1290.64
noEnergy	1290.64	1291.5
music	1291.5	1296.16
noEnergy	1296.16	1297.54
speech	1297.54	1300.5
noEnergy	1300.5	1300.98
speech	1300.98	1303.42
music	1303.42	1314.1200000000001
noise	1314.1200000000001	1315.74
music	1315.74	1317.98
speech	1317.98	1319.58
noEnergy	1319.58	1321.3600000000001
noise	1321.3600000000001	1323.44
speech	1323.44	1325.42
noEnergy	1325.42	1327.78
speech	1327.78	1335.06
noEnergy	1335.06	1336.6200000000001
music	1336.6200000000001	1350.58
noEnergy	1350.58	1352.5
speech	1352.5	1355.6000000000001
noEnergy	1355.6000000000001	1356.54
speech	1356.54	1360.14
music	1360.14	1382.16
noEnergy	1382.16	1382.58
music	1382.58	1391.98
noEnergy	1391.98	1392.48
music	1392.48	1399.82
