,Source,Target,Ratio
1,Music,Music,11.01
2,S-Speech,Music,7.70
3,Music,S-Speech,6.10
4,Music,GSI,5.54
5,Music,GP,5.16
6,S-Speech,GSI,5.04
7,GSI,S-Speech,4.94
8,GSI,Music,4.71
9,GP,Music,4.71
10,S-Speech,S-Speech,3.80
11,GP,S-Speech,3.72
12,Music,GF,3.19
13,S-Speech,GP,2.99
14,GF,S-Speech,2.86
15,GF,Music,2.78
16,S-Speech,GF,2.23
17,GSI,GSI,1.90
18,GA,S-Speech,1.59
19,GP,GP,1.49
20,GF,GF,1.34
21,GSI,GP,1.14
22,S-Speech,GA,1.11
23,GOI,Music,1.09
24,Music,GOI,1.04
25,GP,GSI,0.94
26,S-Speech,GOI,0.94
27,AQ,S-Speech,0.91
28,GF,GP,0.84
29,GSI,GF,0.84
30,GOI,S-Speech,0.84
31,AQ,Music,0.81
32,S-Speech,AQ,0.78
33,Music,GA,0.73
34,Music,AQ,0.68
35,GP,GF,0.63
36,GF,GSI,0.48
37,GA,Music,0.38
38,GSI,AQ,0.30
39,GA,GA,0.23
40,GA,GSI,0.23
41,GSI,GA,0.23
42,GOI,GOI,0.23
43,GSI,GOI,0.23
44,AQ,GSI,0.20
45,GOI,GSI,0.13
46,GF,GA,0.13
47,GOI,GF,0.13
48,GA,GF,0.13
49,GOI,GP,0.10
50,GP,GA,0.10
51,GP,AQ,0.10
52,GP,GOI,0.08
53,AQ,AQ,0.08
54,AQ,GP,0.08
55,AQ,GF,0.08
56,GF,AQ,0.08
57,AQ,GA,0.05
58,GA,AQ,0.03
59,GF,GOI,0.03
60,GOI,AQ,0.03
61,GA,GOI,0.03
62,GOI,GA,0.03
