,Source,Target,Ratio
1,S-Speech,Music,7.51
2,S-Speech,GSI,5.92
3,Music,S-Speech,5.64
4,GSI,S-Speech,5.49
5,Music,GSI,4.48
6,GF,S-Speech,4.34
7,Music,Music,4.34
8,GSI,Music,4.05
9,Music,GP,3.90
10,S-Speech,S-Speech,3.76
11,GP,Music,3.61
12,GP,S-Speech,3.61
13,S-Speech,GF,3.47
14,GP,GP,3.18
15,S-Speech,GP,2.89
16,GF,GF,2.60
17,Music,GF,2.60
18,GF,GP,2.31
19,GP,GSI,2.02
20,GSI,GP,2.02
21,GSI,GF,1.88
22,GF,Music,1.88
23,GSI,GSI,1.88
24,GP,GF,1.59
25,GA,S-Speech,1.59
26,GF,GSI,1.16
27,Music,GA,1.16
28,S-Speech,GOI,1.01
29,Music,GOI,0.72
30,GOI,S-Speech,0.72
31,AQ,S-Speech,0.72
32,S-Speech,GA,0.72
33,GOI,Music,0.58
34,GA,Music,0.58
35,GA,GA,0.43
36,AQ,Music,0.43
37,GA,GSI,0.43
38,S-Speech,AQ,0.43
39,Music,AQ,0.43
40,GOI,GSI,0.29
41,GOI,GP,0.29
42,GSI,AQ,0.29
43,AQ,GA,0.29
44,GP,GOI,0.29
45,GOI,GF,0.29
46,GF,GA,0.29
47,GP,GA,0.29
48,GA,GF,0.29
49,AQ,AQ,0.14
50,AQ,GP,0.14
51,GOI,GOI,0.14
52,GF,GOI,0.14
53,GOI,AQ,0.14
54,AQ,GF,0.14
55,GSI,GOI,0.14
56,GP,AQ,0.14
57,GSI,GA,0.14
