,Source,Target,Ratio
1,Music,Music,13.16
2,S-Speech,Music,8.00
3,Music,S-Speech,6.33
4,Music,GSI,6.03
5,Music,GP,5.60
6,GP,Music,5.06
7,GSI,Music,5.03
8,GSI,S-Speech,4.97
9,S-Speech,GSI,4.97
10,S-Speech,S-Speech,3.87
11,GP,S-Speech,3.73
12,Music,GF,3.20
13,GF,Music,2.93
14,S-Speech,GP,2.87
15,GF,S-Speech,2.30
16,GSI,GSI,1.87
17,S-Speech,GF,1.77
18,GA,S-Speech,1.53
19,GOI,Music,1.20
20,Music,GOI,1.13
21,S-Speech,GA,1.13
22,GP,GP,1.03
23,GSI,GP,1.03
24,AQ,S-Speech,0.87
25,S-Speech,AQ,0.83
26,GOI,S-Speech,0.83
27,S-Speech,GOI,0.83
28,AQ,Music,0.80
29,GP,GSI,0.73
30,Music,GA,0.70
31,GF,GF,0.67
32,GSI,GF,0.63
33,Music,AQ,0.60
34,GF,GP,0.47
35,GA,Music,0.37
36,GP,GF,0.37
37,GF,GSI,0.33
38,GSI,GA,0.27
39,GSI,AQ,0.23
40,GSI,GOI,0.23
41,GOI,GOI,0.20
42,GA,GSI,0.20
43,GA,GA,0.20
44,AQ,GSI,0.17
45,GA,GF,0.10
46,GOI,GSI,0.10
47,GP,AQ,0.07
48,GOI,GP,0.07
49,GF,GA,0.07
50,GP,GA,0.07
51,GA,AQ,0.03
52,AQ,AQ,0.03
53,GOI,GF,0.03
54,GOI,GA,0.03
55,GF,AQ,0.03
56,GA,GOI,0.03
57,AQ,GP,0.03
58,GP,GOI,0.03
