,Source,Target,Ratio
1,Expression,Expression,11.56
2,S-Speech,Music,7.51
3,Technique,S-Speech,7.37
4,S-Speech,Technique,7.08
5,Music,Expression,6.36
6,Music,S-Speech,5.64
7,Expression,Music,5.49
8,Expression,S-Speech,5.49
9,Technique,Technique,4.91
10,S-Speech,Expression,4.34
11,Music,Music,4.34
12,Music,Technique,4.05
13,Technique,Music,3.76
14,S-Speech,S-Speech,3.76
15,Other,S-Speech,3.47
16,Music,Other,2.60
17,S-Speech,Other,2.46
18,Technique,Expression,2.02
19,Expression,Technique,1.88
20,Other,Music,1.30
21,Other,Other,0.87
22,Style,Music,0.58
23,S-Speech,Style,0.58
24,Other,Expression,0.43
25,Style,Style,0.43
26,Other,Technique,0.43
27,Style,Expression,0.29
28,Music,Style,0.29
29,Expression,Other,0.29
30,Style,S-Speech,0.14
31,Expression,Style,0.14
32,Technique,Other,0.14
