,Source,Target,Ratio
1,Music,Music,13.17
2,Music,Expression,10.97
3,Expression,Music,9.90
4,S-Speech,Music,8.07
5,Expression,S-Speech,7.34
6,S-Speech,Expression,6.54
7,Music,S-Speech,6.34
8,Expression,Expression,5.67
9,Music,Technique,4.00
10,S-Speech,S-Speech,3.87
11,Technique,Music,3.67
12,Technique,S-Speech,3.67
13,S-Speech,Technique,3.20
14,Other,S-Speech,2.63
15,S-Speech,Other,2.07
16,Music,Other,1.83
17,Technique,Technique,1.80
18,Other,Music,1.40
19,Other,Other,0.60
20,Style,S-Speech,0.60
21,S-Speech,Style,0.53
22,Music,Style,0.47
23,Expression,Technique,0.37
24,Style,Music,0.37
25,Technique,Expression,0.27
26,Expression,Other,0.17
27,Technique,Other,0.10
28,Other,Technique,0.10
29,Expression,Style,0.07
30,Style,Style,0.07
31,Other,Expression,0.07
32,Style,Expression,0.07
33,Style,Technique,0.03
