Speaker,start,end,time,ITL,ICL
Music,0:00:16,0:00:19,0:00:03,,
Music,0:00:23,0:02:30,0:02:07,,
Music,0:02:33,0:02:36,0:00:03,,
Music,0:02:39,0:03:28,0:00:49,,
Music,0:03:50,0:03:55,0:00:05,,
Music,0:04:00,0:04:16,0:00:16,,
Music,0:04:20,0:04:26,0:00:06,,
Music,0:04:34,0:05:25,0:00:51,,
Music,0:05:34,0:06:12,0:00:38,,
Music,0:06:18,0:06:27,0:00:09,,
Music,0:06:31,0:07:12,0:00:41,,
Music,0:07:16,0:08:35,0:01:19,,
Music,0:08:40,0:09:29,0:00:49,,
Music,0:09:38,0:09:51,0:00:13,,
Music,0:09:55,0:10:24,0:00:29,,
Music,0:10:31,0:10:38,0:00:07,,
Music,0:10:43,0:11:54,0:01:11,,
Music,0:12:01,0:13:06,0:01:05,,
Music,0:13:11,0:13:30,0:00:19,,
Music,0:13:51,0:13:56,0:00:05,,
Music,0:14:12,0:14:55,0:00:43,,
Music,0:14:59,0:15:23,0:00:24,,
Music,0:15:30,0:15:34,0:00:04,,
Music,0:15:37,0:15:42,0:00:05,,
Music,0:15:45,0:21:17,0:05:32,,
Music,0:21:19,0:22:41,0:01:22,,
Music,0:22:44,0:23:48,0:01:04,,
Music,0:23:54,0:24:36,0:00:42,,
S-Speech,0:00:02,0:00:16,0:00:14,,
S-Speech,0:00:19,0:00:20,0:00:01,,
S-Speech,0:02:38,0:02:42,0:00:04,,
S-Speech,0:04:05,0:04:07,0:00:02,,
S-Speech,0:04:38,0:04:39,0:00:01,,
S-Speech,0:04:48,0:04:49,0:00:01,,
S-Speech,0:06:31,0:06:34,0:00:03,,
S-Speech,0:06:45,0:06:47,0:00:02,,
S-Speech,0:08:38,0:08:41,0:00:03,,
S-Speech,0:08:47,0:08:51,0:00:04,,
S-Speech,0:09:06,0:09:07,0:00:01,,
S-Speech,0:09:29,0:09:30,0:00:01,,
S-Speech,0:09:35,0:09:37,0:00:02,,
S-Speech,0:10:28,0:10:29,0:00:01,,
S-Speech,0:10:42,0:10:43,0:00:01,,
S-Speech,0:10:47,0:10:48,0:00:01,,
S-Speech,0:11:54,0:12:01,0:00:07,,
S-Speech,0:13:07,0:13:10,0:00:03,,
S-Speech,0:13:56,0:14:04,0:00:08,,
S-Speech,0:17:06,0:17:14,0:00:08,,
S-Speech,0:17:23,0:17:24,0:00:01,,
S-Speech,0:19:51,0:19:52,0:00:01,,
S-Speech,0:22:53,0:22:55,0:00:02,,
T-Speech,0:00:00,0:00:15,0:00:15,Other,"Asking Question
"
