Speaker,start,end,time2,ITL,ICL
Music,0:00:22,0:01:15,0:00:53,,
Music,0:01:21,0:01:34,0:00:13,,
Music,0:01:40,0:01:56,0:00:16,,
Music,0:01:56,0:02:13,0:00:17,,
Music,0:02:14,0:02:17,0:00:03,,
Music,0:02:20,0:02:57,0:00:37,,
Music,0:03:07,0:03:21,0:00:14,,
Music,0:03:22,0:03:28,0:00:06,,
Music,0:03:28,0:03:44,0:00:16,,
Music,0:03:54,0:04:10,0:00:16,,
Music,0:04:13,0:04:15,0:00:02,,
Music,0:04:16,0:04:19,0:00:03,,
Music,0:04:20,0:04:36,0:00:16,,
Music,0:04:38,0:04:41,0:00:03,,
Music,0:04:46,0:04:51,0:00:05,,
Music,0:04:52,0:04:59,0:00:07,,
Music,0:05:01,0:05:15,0:00:14,,
Music,0:05:19,0:05:26,0:00:07,,
Music,0:05:28,0:05:37,0:00:09,,
Music,0:05:38,0:05:50,0:00:12,,
Music,0:05:54,0:06:01,0:00:07,,
Music,0:06:01,0:06:09,0:00:08,,
Music,0:06:12,0:06:26,0:00:14,,
Music,0:06:29,0:06:38,0:00:09,,
Music,0:06:39,0:07:10,0:00:31,,
Music,0:07:12,0:07:23,0:00:11,,
Music,0:07:26,0:07:27,0:00:01,,
Music,0:07:29,0:07:49,0:00:20,,
Music,0:07:55,0:08:00,0:00:05,,
Music,0:08:06,0:08:11,0:00:05,,
Music,0:08:23,0:08:58,0:00:35,,
Music,0:09:02,0:09:10,0:00:08,,
Music,0:09:10,0:09:14,0:00:04,,
Music,0:09:14,0:09:48,0:00:34,,
Music,0:09:54,0:10:15,0:00:21,,
Music,0:10:21,0:10:38,0:00:17,,
Music,0:10:43,0:10:52,0:00:09,,
Music,0:10:57,0:10:59,0:00:02,,
Music,0:11:01,0:11:06,0:00:05,,
Music,0:11:06,0:11:17,0:00:11,,
Music,0:11:30,0:11:37,0:00:07,,
Music,0:11:44,0:11:45,0:00:01,,
Music,0:11:46,0:11:47,0:00:01,,
Music,0:11:48,0:11:49,0:00:01,,
Music,0:11:52,0:12:25,0:00:33,,
Music,0:12:35,0:12:39,0:00:04,,
Music,0:12:41,0:12:45,0:00:04,,
Music,0:12:46,0:12:57,0:00:11,,
Music,0:13:00,0:13:02,0:00:02,,
Music,0:13:03,0:13:16,0:00:13,,
Music,0:13:22,0:13:42,0:00:20,,
Music,0:13:51,0:14:05,0:00:14,,
Music,0:14:17,0:14:22,0:00:05,,
Music,0:14:24,0:14:39,0:00:15,,
