,Source,Target,Ratio
1,Music,Music,11.02
2,Music,expression,9.57
3,expression,Music,8.51
4,S-Speech,Music,7.75
5,expression,S-Speech,6.56
6,expression,expression,6.33
7,Music,S-Speech,6.10
8,S-Speech,expression,5.75
9,technique,S-Speech,4.79
10,S-Speech,technique,4.36
11,Music,technique,4.31
12,technique,Music,3.98
13,S-Speech,S-Speech,3.80
14,technique,technique,3.24
15,other,S-Speech,2.86
16,S-Speech,other,2.25
17,Music,other,2.08
18,other,Music,1.57
19,other,other,0.79
20,S-Speech,piece,0.68
21,piece,S-Speech,0.66
22,expression,technique,0.61
23,technique,expression,0.56
24,Music,piece,0.41
25,piece,Music,0.38
26,expression,other,0.25
27,other,technique,0.23
28,piece,piece,0.15
29,other,expression,0.13
30,technique,other,0.13
31,piece,expression,0.10
32,expression,piece,0.08
33,piece,technique,0.03
